date,code,factor_value,weighted_factor,news_count,sentiment_std
2025-08-15,9988.HK,-0.4082482904638631,-0.4082482904638631,6,0.0
2025-08-15,9999.HK,-0.4082482904638631,-0.4082482904638631,1,0.0
2025-08-18,0700.HK,0.0,0.0,1,0.0
2025-08-18,9888.HK,0.0,0.0,1,0.0
2025-08-19,0700.HK,0.0,0.0,2,0.0
2025-08-19,1797.HK,0.0,0.0,1,0.0
2025-08-19,9888.HK,0.0,0.0,1,0.0
2025-08-20,0700.HK,0.0,0.0,2,0.0
2025-08-20,9988.HK,0.0,0.0,2,0.0
2025-08-21,0700.HK,0.0,0.0,2,0.0
2025-08-21,1211.HK,0.0,0.0,1,0.0
2025-08-21,1810.HK,0.0,0.0,1,0.0
2025-08-21,3690.HK,0.0,0.0,1,0.0
2025-08-21,9618.HK,0.0,0.0,1,0.0
2025-08-21,9626.HK,0.0,0.0,1,0.0
2025-08-21,9888.HK,0.0,0.0,1,0.0
2025-08-21,9988.HK,0.0,0.0,4,0.0
2025-08-21,9992.HK,0.0,0.0,1,0.0
2025-08-21,9999.HK,0.0,0.0,1,0.0
2025-08-22,0700.HK,0.0,0.0,6,0.0
2025-08-22,0992.HK,0.0,0.0,1,0.0
2025-08-22,1024.HK,0.0,0.0,1,0.0
2025-08-22,1810.HK,0.0,0.0,1,0.0
2025-08-22,3690.HK,0.0,0.0,1,0.0
2025-08-22,9626.HK,0.0,0.0,1,0.0
2025-08-22,9988.HK,0.0,0.0,2,0.0
2025-08-23,0700.HK,0.0,0.0,1,0.0
